fecha,precipitacion
20080101,0.0
20080102,1.2
20080103,2.0
20080104,0.0
20080105,0.0
20080106,0.0
20080107,0.0
20080108,1.5
20080109,0.1
20080110,0.0
20080111,3.0
20080112,0.0
20080113,0.9
20080114,0.0
20080115,0.0
20080116,0.6
20080117,0.0
20080118,0.0
20080119,0.2
20080120,0.3
20080121,0.0
20080122,0.0
20080123,0.0
20080124,0.0
20080125,0.0
20080126,0.0
20080127,0.0
20080128,0.0
20080129,0.0
20080130,0.0
20080131,0.0
20080201,0.2
20080202,0.0
20080203,1.3
20080204,0.0
20080205,0.0
20080206,0.0
20080207,0.0
20080208,0.0
20080209,0.0
20080210,0.0
20080211,0.0
20080212,0.0
20080213,0.0
20080214,0.0
20080215,0.0
20080216,0.0
20080217,1.7
20080218,3.4
20080219,5.0
20080220,0.3
20080221,0.0
20080222,0.0
20080223,0.0
20080224,3.3
20080225,0.0
20080226,0.0
20080227,1.2
20080228,0.0
20080229,0.0
20080301,0.0
20080302,0.0
20080303,0.0
20080304,1.2
20080305,0.0
20080306,0.0
20080307,0.0
20080308,0.0
20080309,2.7
20080310,0.1
20080311,0.0
20080312,0.0
20080313,0.0
20080314,0.0
20080315,0.0
20080316,0.0
20080317,0.3
20080318,0.0
20080319,0.0
20080320,0.0
20080321,0.0
20080322,0.0
20080323,0.1
20080324,0.0
20080325,0.0
20080326,4.2
20080327,0.0
20080328,0.0
20080329,0.0
20080330,2.2
20080331,0.0
20080401,0.0
20080402,0.0
20080403,0.0
20080404,0.0
20080405,0.0
20080406,0.0
20080407,9.4
20080408,2.7
20080409,1.5
20080410,1.7
20080411,0.0
20080412,0.0
20080413,3.7
20080414,0.0
20080415,0.0
20080416,4.3
20080417,1.2
20080418,0.2
20080419,3.2
20080420,1.2
20080421,1.4
20080422,0.0
20080423,0.0
20080424,0.0
20080425,0.0
20080426,0.0
20080427,0.0
20080428,0.0
20080429,0.0
20080430,0.0
20080501,0.0
20080502,0.0
20080503,0.0
20080504,1.9
20080505,0.0
20080506,0.0
20080507,0.2
20080508,0.5
20080509,18.1
20080510,21.3
20080511,2.5
20080512,0.3
20080513,8.8
20080514,13.6
20080515,1.3
20080516,1.0
20080517,0.0
20080518,3.7
20080519,4.8
20080520,0.0
20080521,0.0
20080522,0.0
20080523,4.2
20080524,4.4
20080525,19.2
20080526,0.3
20080527,0.0
20080528,1.1
20080529,0.0
20080530,6.5
20080531,28.2
20080601,0.0
20080602,0.0
20080603,0.0
20080604,0.0
20080605,1.0
20080606,0.0
20080607,0.0
20080608,0.0
20080609,4.9
20080610,1.9
20080611,12.7
20080612,0.0
20080613,0.0
20080614,0.0
20080615,0.3
20080616,2.2
20080617,0.0
20080618,0.0
20080619,0.0
20080620,0.0
20080621,0.0
20080622,0.0
20080623,1.1
20080624,0.0
20080625,0.0
20080626,0.0
20080627,0.0
20080628,0.0
20080629,0.0
20080630,0.0
20080701,0.0
20080702,0.0
20080703,0.0
20080704,0.0
20080705,0.0
20080706,0.0
20080707,0.0
20080708,0.0
20080709,0.0
20080710,0.0
20080711,11.6
20080712,8.7
20080713,0.0
20080714,0.0
20080715,0.0
20080716,0.0
20080717,0.0
20080718,0.0
20080719,0.0
20080720,0.0
20080721,0.0
20080722,0.0
20080723,0.2
20080724,0.0
20080725,0.0
20080726,0.0
20080727,0.0
20080728,0.0
20080729,0.0
20080730,0.0
20080731,0.0
20080801,0.0
20080802,0.0
20080803,0.0
20080804,0.0
20080805,2.7
20080806,0.0
20080807,0.0
20080808,0.0
20080809,0.0
20080810,0.0
20080811,0.0
20080812,0.0
20080813,0.0
20080814,0.0
20080815,0.0
20080816,0.9
20080817,0.0
20080818,0.0
20080819,0.0
20080820,0.0
20080821,0.0
20080822,3.8
20080823,0.0
20080824,0.0
20080825,0.0
20080826,0.0
20080827,0.0
20080828,0.0
20080829,0.0
20080830,0.0
20080831,0.0
20080901,0.0
20080902,0.0
20080903,0.0
20080904,0.0
20080905,0.0
20080906,0.0
20080907,0.0
20080908,0.0
20080909,4.6
20080910,0.5
20080911,0.0
20080912,0.0
20080913,0.0
20080914,0.0
20080915,0.0
20080916,0.0
20080917,0.0
20080918,0.0
20080919,0.0
20080920,0.0
20080921,0.0
20080922,2.9
20080923,0.0
20080924,0.0
20080925,0.0
20080926,0.0
20080927,0.0
20080928,0.0
20080929,0.0
20080930,0.0
20081001,0.0
20081002,0.0
20081003,0.0
20081004,0.0
20081005,0.0
20081006,0.0
20081007,1.7
20081008,0.0
20081009,0.0
20081010,0.0
20081011,1.8
20081012,27.0
20081013,0.0
20081014,0.0
20081015,0.0
20081016,0.0
20081017,1.2
20081018,15.2
20081019,0.0
20081020,0.0
20081021,8.9
20081022,0.0
20081023,0.0
20081024,0.0
20081025,0.0
20081026,0.0
20081027,9.1
20081028,2.1
20081029,0.0
20081030,3.2
20081031,5.2
20081101,16.1
20081102,16.8
20081103,0.0
20081104,0.0
20081105,0.0
20081106,0.0
20081107,2.3
20081108,0.0
20081109,0.0
20081110,0.1
20081111,1.3
20081112,0.0
20081113,0.0
20081114,0.0
20081115,0.0
20081116,0.0
20081117,0.0
20081118,0.3
20081119,0.0
20081120,0.0
20081121,0.0
20081122,0.0
20081123,0.3
20081124,2.4
20081125,0.0
20081126,0.0
20081127,0.0
20081128,0.2
20081129,1.7
20081130,0.0
20081201,0.2
20081202,0.0
20081203,0.0
20081204,0.5
20081205,0.1
20081206,1.4
20081207,0.0
20081208,11.4
20081209,0.8
20081210,0.0
20081211,0.0
20081212,0.0
20081213,5.0
20081214,0.0
20081215,0.0
20081216,0.0
20081217,0.0
20081218,0.0
20081219,0.0
20081220,0.0
20081221,0.0
20081222,0.1
20081223,0.2
20081224,0.0
20081225,0.0
20081226,4.1
20081227,0.9
20081228,2.4
20081229,0.0
20081230,0.0
20081231,0.0
20090101,8.3
20090102,0.1
20090103,0.3
20090104,0.0
20090105,0.0
20090106,0.0
20090107,0.0
20090108,0.0
20090109,5.7
20090110,0.0
20090111,0.0
20090112,0.0
20090113,0.5
20090114,0.0
20090115,0.0
20090116,0.0
20090117,0.0
20090118,0.0
20090119,0.7
20090120,0.0
20090121,1.1
20090122,2.5
20090123,0.0
20090124,0.0
20090125,0.1
20090126,3.1
20090127,4.7
20090128,0.9
20090129,0.0
20090130,0.0
20090131,1.3
20090201,3.8
20090202,1.6
20090203,0.1
20090204,0.2
20090205,0.1
20090206,0.3
20090207,0.0
20090208,0.0
20090209,0.0
20090210,0.0
20090211,0.0
20090212,0.0
20090213,0.0
20090214,0.0
20090215,0.0
20090216,0.0
20090217,0.0
20090218,0.0
20090219,0.0
20090220,0.0
20090221,0.0
20090222,0.0
20090223,0.0
20090224,0.0
20090225,0.0
20090226,0.0
20090227,0.0
20090228,1.3
20090301,3.4
20090302,0.0
20090303,0.0
20090304,4.0
20090305,1.4
20090306,0.0
20090307,0.0
20090308,0.0
20090309,0.0
20090310,0.0
20090311,0.0
20090312,0.0
20090313,0.0
20090314,0.0
20090315,0.0
20090316,0.0
20090317,0.0
20090318,0.0
20090319,0.0
20090320,0.0
20090321,0.0
20090322,0.0
20090323,0.0
20090324,0.0
20090325,0.0
20090326,0.0
20090327,0.0
20090328,0.2
